"Var1"	"Freq"
"845"	"telefone"	1
"846"	"tema"	1
"847"	"tempo"	18
"848"	"tendência"	1
"849"	"ter"	3
"850"	"termo"	2
"851"	"terra"	6
"852"	"terraplanagem"	1
"853"	"terreiro"	3
"854"	"território"	3
"855"	"terror"	1
"856"	"tesoureiro"	1
"857"	"teste"	1
"858"	"tia"	2
"859"	"tiara"	1
"860"	"tinta"	8
"861"	"tio"	1
"862"	"tipo"	12
"863"	"tira"	1
"864"	"tiririca"	1
"865"	"toalha"	1
"866"	"toco"	2
"867"	"todo"	1
"868"	"tolerância"	1
"869"	"tomada"	1
"870"	"torno"	1
"871"	"trabalho"	5
"872"	"tracinho"	2
"873"	"tradição"	4
"874"	"trança"	1
"875"	"transforma"	1
"876"	"tratamento"	2
"877"	"treino"	1
"878"	"trepado"	2
"879"	"troca"	6
"880"	"turco"	1
"881"	"turma"	2
"882"	"um"	1
"883"	"umbanda"	1
"884"	"unha"	1
"885"	"unidade"	1
"886"	"uso"	2
"887"	"valor"	3
"888"	"valorização"	2
"889"	"vão"	1
"890"	"varetinha"	1
"891"	"vegetação"	1
"892"	"velhas"	1
"893"	"velhinha"	1
"894"	"velho"	3
"895"	"venta"	1
"896"	"vento"	1
"897"	"verdade"	17
"898"	"vergonha"	1
"899"	"vermelho"	1
"900"	"vertente"	1
"901"	"vez"	44
"902"	"veze"	8
"903"	"viagem"	1
"904"	"vida"	7
"905"	"vídeo"	5
"906"	"viés"	1
"907"	"vinha"	1
"908"	"visita"	1
"909"	"vizinho"	1
"910"	"você"	5
"911"	"volante"	1
"912"	"volta"	3
"913"	"volto"	1
"914"	"vontade"	3
"915"	"voto"	1
"916"	"voz"	3
"917"	"xaréu"	2
