"Var1"	"Freq"
"645"	"pesquisa"	5
"646"	"pesquisar"	1
"647"	"pessoa"	30
"648"	"pessoal"	4
"649"	"pilãozinho"	3
"650"	"pimenta"	2
"651"	"pincel"	1
"652"	"pindaúvo"	2
"653"	"pintura"	6
"654"	"piraporã"	1
"655"	"Pisadinha"	1
"656"	"plano"	3
"657"	"planta"	3
"658"	"plantio"	1
"659"	"pó"	1
"660"	"poder"	10
"661"	"policial"	1
"662"	"pomada"	1
"663"	"ponta"	2
"664"	"ponto"	2
"665"	"porta"	2
"666"	"portal"	1
"667"	"posto"	1
"668"	"pote"	3
"669"	"potiguar"	1
"670"	"potiguara"	1
"671"	"pouco"	1
"672"	"pouquinho"	5
"673"	"povo"	12
"674"	"Poxar"	1
"675"	"pra"	1
"676"	"pracinha"	1
"677"	"praia"	5
"678"	"prática"	4
"679"	"pratinho"	1
"680"	"presa"	1
"681"	"presença"	4
"682"	"presente"	1
"683"	"presidencial"	1
"684"	"primo"	1
"685"	"prioridade"	2
"686"	"pro"	3
"687"	"problema"	7
"688"	"processo"	7
"689"	"procura"	1
"690"	"produção"	2
"691"	"professora"	3
"692"	"professorar"	1
"693"	"projeto"	2
"694"	"pronto"	1
"695"	"próprio"	1
"696"	"proteção"	9
"697"	"provar"	1
"698"	"provocação"	1
"699"	"próximo"	1
"700"	"pulmão"	1
"701"	"qualidade"	1
"702"	"quarto"	3
"703"	"queda"	1
"704"	"quego"	1
"705"	"queixa"	1
"706"	"queixo"	1
"707"	"quenga"	3
"708"	"querida"	1
"709"	"questão"	10
"710"	"quilombo"	1
"711"	"rabo"	1
"712"	"raiz"	4
"713"	"raíz"	1
"714"	"rama"	1
"715"	"rapado"	1
"716"	"rapaz"	2
"717"	"raposo"	1
"718"	"Ratoeira"	1
"719"	"razão"	1
"720"	"realidade"	1
"721"	"recurso"	2
"722"	"rede"	10
"723"	"redir"	1
"724"	"redor"	1
"725"	"registro"	3
"726"	"regra"	1
"727"	"relação"	2
"728"	"relato"	1
"729"	"relatório"	4
"730"	"religião"	6
"731"	"remédio"	3
"732"	"repente"	1
"733"	"representação"	3
"734"	"resguarda"	1
"735"	"resguardo"	4
"736"	"residência"	3
"737"	"resiliência"	1
"738"	"respeito"	4
"739"	"resto"	1
"740"	"resultado"	6
"741"	"reunião"	4
"742"	"reza"	3
"743"	"rezadeira"	4
"744"	"rio"	2
"745"	"riqueza"	1
"746"	"ritmo"	3
"747"	"ritual"	2
"748"	"roçado"	1
"749"	"roçar"	1
"750"	"rocha"	1
"751"	"roda"	6
"752"	"roteiro"	1
"753"	"roupa"	4
"754"	"rua"	2
"755"	"saber"	7
"756"	"saída"	1
"757"	"saio"	2
"758"	"salsa"	1
"759"	"sanfoneiro"	1
"760"	"sangue"	1
"761"	"santo"	1
"762"	"sapato"	1
"763"	"sardinha"	1
"764"	"sataná"	1
"765"	"secretaria"	2
"766"	"seguinte"	1
"767"	"segundo"	1
"768"	"Segurança"	1
"769"	"Seixa"	1
"770"	"semana"	2
"771"	"semente"	1
"772"	"senhor"	6
"773"	"senhora"	8
"774"	"sentido"	2
"775"	"sentimento"	2
"776"	"sequência"	1
"777"	"ser"	2
"778"	"sério"	1
"779"	"serviço"	1
"780"	"show"	2
"781"	"significado"	1
"782"	"significar"	1
"783"	"silêncio"	3
"784"	"símbolo"	4
"785"	"sinal"	9
"786"	"sincretismo"	2
"787"	"sistema"	1
"788"	"situação"	4
"789"	"sofrimento"	1
"790"	"sol"	1
"791"	"soluço"	1
"792"	"som"	1
"793"	"sono"	1
"794"	"subindo"	1
"795"	"subsistência"	1
"796"	"suei"	1
"797"	"suporte"	3
"798"	"suspenso"	1
"799"	"susto"	1
"800"	"Tabajara"	1
"801"	"tamanho"	2
"802"	"tapa"	1
"803"	"tardezinha"	1
"804"	"tatu"	1
"805"	"tema"	3
"806"	"temática"	1
"807"	"tempero"	2
"808"	"templar"	1
"809"	"tempo"	32
"810"	"ter"	1
"811"	"terça-feira"	2
"812"	"terceiro"	1
"813"	"terra"	8
"814"	"terreno"	2
"815"	"território"	5
"816"	"Território"	1
"817"	"textar"	1
"818"	"texto"	1
"819"	"tiara"	2
"820"	"Tiara"	1
"821"	"tinha"	1
"822"	"tio"	2
"823"	"tipar"	1
"824"	"tipo"	12
"825"	"tiradinho"	1
"826"	"tiragem"	1
"827"	"toco"	1
"828"	"todinho"	1
"829"	"topografia"	1
"830"	"torrinho"	1
"831"	"trabalhar"	1
"832"	"trabalho"	7
"833"	"traço"	4
"834"	"tradição"	2
"835"	"trança"	2
"836"	"transcrição"	1
"837"	"traquino"	1
"838"	"tratamento"	1
"839"	"trator"	1
"840"	"trazem"	1
"841"	"tua"	1
"842"	"tudinho"	2
"843"	"um"	2
"844"	"unha"	1
"845"	"urtiga"	3
"846"	"utensílio"	1
"847"	"uva"	1
"848"	"vaca"	1
"849"	"vacilo"	1
"850"	"vai"	1
"851"	"validação"	1
"852"	"valor"	1
"853"	"valorização"	4
"854"	"válvula"	1
"855"	"vantagem"	1
"856"	"vara"	2
"857"	"variz"	2
"858"	"vaso"	1
"859"	"vassourinha"	1
"860"	"veia"	2
"861"	"velho"	3
"862"	"ventar"	1
"863"	"vento"	1
